	 i = 29    	 yi = 4.79796    	 xi = 0.9375    	 h = 0.03125    	 yi(1/2) = 4.79796    	 yi - yi(1/2) = 4.0047e-09    	 LEE = 4.27168e-09    	 c1 = 4    	 c2 = 0
	 i = 30    	 yi = 5.10721    	 xi = 0.96875    	 h = 0.03125    	 yi(1/2) = 5.10721    	 yi - yi(1/2) = 4.23641e-09    	 LEE = 4.51884e-09    	 c1 = 4    	 c2 = 0
	 i = 31    	 yi = 5.43656    	 xi = 1    	 h = 0.03125    	 yi(1/2) = 5.43656    	 yi - yi(1/2) = 4.48e-09    	 LEE = 4.77867e-09    	 c1 = 4    	 c2 = 0
	 i = 32    	 yi = 5.78716    	 xi = 1.03125    	 h = 0.03125    	 yi(1/2) = 5.78716    	 yi - yi(1/2) = 4.73603e-09    	 LEE = 5.05177e-09    	 c1 = 4    	 c2 = 0
	 i = 33    	 yi = 6.16019    	 xi = 1.0625    	 h = 0.03125    	 yi(1/2) = 6.16019    	 yi - yi(1/2) = 5.00508e-09    	 LEE = 5.33875e-09    	 c1 = 4    	 c2 = 0
	 i = 34    	 yi = 6.55691    	 xi = 1.09375    	 h = 0.03125    	 yi(1/2) = 6.55691    	 yi - yi(1/2) = 5.28776e-09    	 LEE = 5.64028e-09    	 c1 = 4    	 c2 = 0
	 i = 35    	 yi = 6.97862    	 xi = 1.125    	 h = 0.03125    	 yi(1/2) = 6.97862    	 yi - yi(1/2) = 5.58471e-09    	 LEE = 5.95703e-09    	 c1 = 4    	 c2 = 0
	 i = 36    	 yi = 7.4267    	 xi = 1.15625    	 h = 0.03125    	 yi(1/2) = 7.4267    	 yi - yi(1/2) = 5.89659e-09    	 LEE = 6.2897e-09    	 c1 = 4    	 c2 = 0
	 i = 37    	 yi = 7.9026    	 xi = 1.1875    	 h = 0.03125    	 yi(1/2) = 7.9026    	 yi - yi(1/2) = 6.2241e-09    	 LEE = 6.63903e-09    	 c1 = 4    	 c2 = 0
	 i = 38    	 yi = 8.40784    	 xi = 1.21875    	 h = 0.03125    	 yi(1/2) = 8.40784    	 yi - yi(1/2) = 6.56795e-09    	 LEE = 7.00581e-09    	 c1 = 4    	 c2 = 0
	 i = 39    	 yi = 8.944    	 xi = 1.25    	 h = 0.03125    	 yi(1/2) = 8.944    	 yi - yi(1/2) = 6.9289e-09    	 LEE = 7.39083e-09    	 c1 = 4    	 c2 = 0
	 i = 40    	 yi = 9.51277    	 xi = 1.28125    	 h = 0.03125    	 yi(1/2) = 9.51277    	 yi - yi(1/2) = 7.30775e-09    	 LEE = 7.79493e-09    	 c1 = 4    	 c2 = 0
	 i = 41    	 yi = 10.1159    	 xi = 1.3125    	 h = 0.03125    	 yi(1/2) = 10.1159    	 yi - yi(1/2) = 7.70531e-09    	 LEE = 8.219e-09    	 c1 = 4    	 c2 = 0
	 i = 42    	 yi = 10.7552    	 xi = 1.34375    	 h = 0.03125    	 yi(1/2) = 10.7552    	 yi - yi(1/2) = 8.12244e-09    	 LEE = 8.66394e-09    	 c1 = 4    	 c2 = 0
	 i = 43    	 yi = 11.4326    	 xi = 1.375    	 h = 0.03125    	 yi(1/2) = 11.4326    	 yi - yi(1/2) = 8.56005e-09    	 LEE = 9.13072e-09    	 c1 = 4    	 c2 = 0
	 i = 44    	 yi = 12.1502    	 xi = 1.40625    	 h = 0.03125    	 yi(1/2) = 12.1502    	 yi - yi(1/2) = 9.01906e-09    	 LEE = 9.62033e-09    	 c1 = 4    	 c2 = 0
	 i = 45    	 yi = 12.9101    	 xi = 1.4375    	 h = 0.03125    	 yi(1/2) = 12.9101    	 yi - yi(1/2) = 9.50044e-09    	 LEE = 1.01338e-08    	 c1 = 4    	 c2 = 0
	 i = 46    	 yi = 13.7144    	 xi = 1.46875    	 h = 0.03125    	 yi(1/2) = 13.7144    	 yi - yi(1/2) = 1.00052e-08    	 LEE = 1.06722e-08    	 c1 = 4    	 c2 = 0
	 i = 47    	 yi = 14.5655    	 xi = 1.5    	 h = 0.03125    	 yi(1/2) = 14.5655    	 yi - yi(1/2) = 1.05345e-08    	 LEE = 1.12368e-08    	 c1 = 4    	 c2 = 0
	 i = 48    	 yi = 15.4659    	 xi = 1.53125    	 h = 0.03125    	 yi(1/2) = 15.4659    	 yi - yi(1/2) = 1.10893e-08    	 LEE = 1.18286e-08    	 c1 = 4    	 c2 = 0
	 i = 49    	 yi = 16.418    	 xi = 1.5625    	 h = 0.03125    	 yi(1/2) = 16.418    	 yi - yi(1/2) = 1.16708e-08    	 LEE = 1.24488e-08    	 c1 = 4    	 c2 = 0
