	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.25    	 yi(1/2) = 2.05923    	 yi - yi(1/2) = -0.00850182    	 LEE = 0.00971636    	 c1 = 1    	 c2 = 0
	 i = 24    	 yi = 1.70341    	 xi = 0.390625    	 h = 0.015625    	 yi(1/2) = 1.70341    	 yi - yi(1/2) = -1.47558e-08    	 LEE = 1.68638e-08    	 c1 = 5    	 c2 = 0
	 i = 25    	 yi = 1.74893    	 xi = 0.40625    	 h = 0.015625    	 yi(1/2) = 1.74893    	 yi - yi(1/2) = -1.52282e-08    	 LEE = 1.74037e-08    	 c1 = 5    	 c2 = 0
	 i = 26    	 yi = 1.7962    	 xi = 0.421875    	 h = 0.015625    	 yi(1/2) = 1.7962    	 yi - yi(1/2) = -1.57134e-08    	 LEE = 1.79582e-08    	 c1 = 5    	 c2 = 0
	 i = 27    	 yi = 1.84529    	 xi = 0.4375    	 h = 0.015625    	 yi(1/2) = 1.84529    	 yi - yi(1/2) = -1.62117e-08    	 LEE = 1.85277e-08    	 c1 = 5    	 c2 = 0
	 i = 28    	 yi = 1.89624    	 xi = 0.453125    	 h = 0.015625    	 yi(1/2) = 1.89624    	 yi - yi(1/2) = -1.67235e-08    	 LEE = 1.91125e-08    	 c1 = 5    	 c2 = 0
	 i = 29    	 yi = 1.94912    	 xi = 0.46875    	 h = 0.015625    	 yi(1/2) = 1.94912    	 yi - yi(1/2) = -1.7249e-08    	 LEE = 1.97131e-08    	 c1 = 5    	 c2 = 0
	 i = 30    	 yi = 2.00398    	 xi = 0.484375    	 h = 0.015625    	 yi(1/2) = 2.00398    	 yi - yi(1/2) = -1.77886e-08    	 LEE = 2.03299e-08    	 c1 = 5    	 c2 = 0
	 i = 31    	 yi = 2.0609    	 xi = 0.5    	 h = 0.015625    	 yi(1/2) = 2.0609    	 yi - yi(1/2) = -1.83427e-08    	 LEE = 2.09631e-08    	 c1 = 5    	 c2 = 0
	 i = 32    	 yi = 2.11993    	 xi = 0.515625    	 h = 0.015625    	 yi(1/2) = 2.11993    	 yi - yi(1/2) = -1.89116e-08    	 LEE = 2.16132e-08    	 c1 = 5    	 c2 = 0
	 i = 33    	 yi = 2.18114    	 xi = 0.53125    	 h = 0.015625    	 yi(1/2) = 2.18114    	 yi - yi(1/2) = -1.94956e-08    	 LEE = 2.22807e-08    	 c1 = 5    	 c2 = 0
	 i = 34    	 yi = 2.24459    	 xi = 0.546875    	 h = 0.015625    	 yi(1/2) = 2.24459    	 yi - yi(1/2) = -2.00951e-08    	 LEE = 2.29659e-08    	 c1 = 5    	 c2 = 0
	 i = 35    	 yi = 2.31036    	 xi = 0.5625    	 h = 0.015625    	 yi(1/2) = 2.31036    	 yi - yi(1/2) = -2.07106e-08    	 LEE = 2.36692e-08    	 c1 = 5    	 c2 = 0
	 i = 36    	 yi = 2.37852    	 xi = 0.578125    	 h = 0.015625    	 yi(1/2) = 2.37852    	 yi - yi(1/2) = -2.13423e-08    	 LEE = 2.43911e-08    	 c1 = 5    	 c2 = 0
	 i = 37    	 yi = 2.44913    	 xi = 0.59375    	 h = 0.015625    	 yi(1/2) = 2.44913    	 yi - yi(1/2) = -2.19906e-08    	 LEE = 2.51321e-08    	 c1 = 5    	 c2 = 0
	 i = 38    	 yi = 2.52228    	 xi = 0.609375    	 h = 0.015625    	 yi(1/2) = 2.52228    	 yi - yi(1/2) = -2.2656e-08    	 LEE = 2.58926e-08    	 c1 = 5    	 c2 = 0
	 i = 39    	 yi = 2.59803    	 xi = 0.625    	 h = 0.015625    	 yi(1/2) = 2.59803    	 yi - yi(1/2) = -2.33388e-08    	 LEE = 2.6673e-08    	 c1 = 5    	 c2 = 0
	 i = 40    	 yi = 2.67647    	 xi = 0.640625    	 h = 0.015625    	 yi(1/2) = 2.67647    	 yi - yi(1/2) = -2.40396e-08    	 LEE = 2.74738e-08    	 c1 = 5    	 c2 = 0
	 i = 41    	 yi = 2.75768    	 xi = 0.65625    	 h = 0.015625    	 yi(1/2) = 2.75768    	 yi - yi(1/2) = -2.47586e-08    	 LEE = 2.82955e-08    	 c1 = 5    	 c2 = 0
	 i = 42    	 yi = 2.84173    	 xi = 0.671875    	 h = 0.015625    	 yi(1/2) = 2.84173    	 yi - yi(1/2) = -2.54964e-08    	 LEE = 2.91387e-08    	 c1 = 5    	 c2 = 0
	 i = 43    	 yi = 2.92873    	 xi = 0.6875    	 h = 0.015625    	 yi(1/2) = 2.92873    	 yi - yi(1/2) = -2.62533e-08    	 LEE = 3.00038e-08    	 c1 = 5    	 c2 = 0
